Pésimo servicio realmente. ,queja
Nunca experimenté un servicio tan malo. ,queja
Tienen una atención al cliente pésima. ,queja
Nunca más compraré un paquete de su agencia. ,queja
Compré el paquete Descubre el Caribe y la verdad es que no lo recomiendo para nada! ,queja
Viajé a Brasil con su agencia y en todos los hoteles me trataron terrible! ,queja
Se jactan de tener una experiencia de usuario buena pero en realidad esta es terrible.  ,queja
No puede ser que tarden una semana para contestar las consultas. ,queja
Sus precios son muy elevados respecto a la competencia y los hoteles presentes en los paquetes no justifican el precio. ,queja
No viajo nunca más con esta agencia. ,queja
Exijo un reembolso total del precio del viaje. ,queja
Por la impuntualidad de sus servicios no pude ir al evento principal del viaje. Quiero un reembolso. ,queja
Estaba planeando viajar a Brasil en septiembre de este año. Qué paquetes tienendisponibles? ,pregunta
Cuál es el precio de viajar a Europa durante las vacaciones de julio ,pregunta
Qué paquetes tienen disponibles para lugares tropicales? ,pregunta
Qué destinos me recomiendan si quiero ir a la playa? ,pregunta
Pueden hacerme distintos presupuestos para viajar a Canada? ,pregunta
"Por un presupuesto de 2000 dolares, qué destinos me recomiendan? ",pregunta
Cómo hago para comprar el paquete de 21 días en Europa? ,pregunta
Los paquetes se pueden pagar en más de 12 cuotas? ,pregunta
Hay alguna configuración distinta del viaje por el sudeste asiático? 6000 dólares está porencima de mi presupuesto. ,pregunta
Me pueden asesorar sobre posibles destinos de viaje en América? ,pregunta
Tienen algún paquete de viaje para lugares en Uruguay? ,pregunta
Cuál es la opción más ecomómica para viajar una semana a sudáfrica? ,pregunta
